CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned
69,70,487,Carolyn,Navarro,1955-09-21,S,F,80000.0,2.0,0.0,High School,Skilled Manual,0.0,2.0
70,71,699,Willie,Raji,1955-04-05,M,M,80000.0,2.0,0.0,High School,Skilled Manual,1.0,2.0
71,72,637,Linda,Serrano,1955-06-26,S,F,80000.0,2.0,0.0,High School,Skilled Manual,1.0,2.0
72,73,554,Casey,Luo,1955-02-06,S,F,80000.0,2.0,0.0,High School,Skilled Manual,0.0,2.0
73,74,553,Amy,Ye,1956-08-14,S,F,70000.0,2.0,0.0,High School,Skilled Manual,1.0,2.0
74,75,613,Levi,Arun,1956-08-28,S,M,70000.0,2.0,0.0,High School,Skilled Manual,1.0,2.0
75,76,425,Felicia,Jimenez,1957-11-16,S,F,80000.0,2.0,0.0,High School,Professional,1.0,2.0
76,77,706,Blake,Anderson,1957-07-13,S,M,80000.0,2.0,0.0,High School,Professional,1.0,2.0
77,78,510,Leah,Ye,1957-09-19,S,F,80000.0,2.0,0.0,High School,Professional,0.0,2.0
78,79,467,Gina,Martin,1974-01-10,S,F,40000.0,0.0,0.0,High School,Professional,0.0,2.0
79,80,632,Donald,Gonzalez,1959-03-11,S,M,160000.0,0.0,0.0,Graduate Degree,Management,1.0,2.0
80,81,531,Damien,Chander,1959-07-17,M,M,170000.0,0.0,0.0,Graduate Degree,Management,1.0,2.0
81,82,470,Savannah,Baker,1966-07-24,M,F,120000.0,2.0,2.0,Bachelors,Management,1.0,3.0
82,83,631,Angela,Butler,1966-08-04,S,F,130000.0,0.0,1.0,Graduate Degree,Management,0.0,3.0
83,84,505,Alyssa,Cox,1966-03-15,M,F,130000.0,0.0,1.0,Graduate Degree,Management,1.0,3.0
84,85,500,Lucas,Phillips,1957-09-12,S,M,80000.0,2.0,0.0,Partial High School,Skilled Manual,0.0,2.0
85,86,667,Emily,Johnson,1957-07-19,S,F,60000.0,2.0,0.0,High School,Professional,0.0,2.0
86,87,547,Ryan,Brown,1957-12-23,M,M,70000.0,2.0,1.0,Partial College,Professional,1.0,0.0
87,88,610,Tamara,Liang,1957-10-03,M,F,70000.0,3.0,2.0,Partial College,Professional,0.0,0.0
88,89,688,Hunter,Davis,1957-11-25,M,M,80000.0,2.0,1.0,Bachelors,Management,1.0,0.0
89,90,652,Abigail,Price,1957-02-05,S,F,80000.0,2.0,1.0,Bachelors,Management,1.0,1.0
90,91,653,Trevor,Bryant,1957-12-17,S,M,90000.0,2.0,0.0,Partial College,Professional,1.0,1.0
91,92,490,Dalton,Perez,1957-04-04,M,M,90000.0,2.0,0.0,Partial College,Professional,1.0,1.0
92,93,478,Cheryl,Diaz,1967-05-06,M,F,90000.0,2.0,2.0,Bachelors,Professional,1.0,0.0
93,94,706,Aimee,He,1967-09-10,M,F,100000.0,0.0,0.0,Graduate Degree,Management,1.0,0.0
94,95,471,Cedric,Ma,1962-04-01,S,M,70000.0,1.0,0.0,Partial College,Skilled Manual,0.0,1.0
95,96,534,Chad,Kumar,1962-09-01,S,M,70000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
96,97,669,Andr̩s,Anand,1962-08-10,M,M,60000.0,1.0,0.0,Bachelors,Professional,1.0,1.0
97,98,568,Edwin,Nara,1961-10-27,M,M,60000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
98,99,679,Mallory,Rubio,1961-05-01,S,F,60000.0,1.0,0.0,Partial College,Skilled Manual,0.0,1.0
99,100,534,Adam,Ross,1961-03-08,M,M,60000.0,1.0,0.0,Bachelors,Professional,1.0,1.0
100,101,613,Latasha,Navarro,1960-09-15,S,F,60000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
101,102,471,Abby,Sai,1965-05-08,S,F,70000.0,0.0,0.0,Bachelors,Professional,0.0,1.0
102,103,558,Julia,Nelson,1965-04-21,S,F,80000.0,5.0,5.0,Bachelors,Professional,1.0,4.0
103,104,473,Cassie,Chande,1964-10-17,S,F,70000.0,0.0,0.0,Bachelors,Professional,1.0,1.0
104,105,487,Edgar,Sara,1964-03-11,M,M,70000.0,0.0,0.0,Bachelors,Professional,0.0,1.0
105,106,509,Candace,Fernandez,1964-12-28,S,F,70000.0,0.0,0.0,Bachelors,Professional,0.0,1.0
106,107,568,Jessie,Liu,1964-09-11,S,M,70000.0,0.0,0.0,Bachelors,Professional,0.0,1.0
107,108,554,Bianca,Lin,1959-09-09,M,F,90000.0,1.0,0.0,Bachelors,Professional,1.0,1.0
108,109,534,Kari,Alvarez,1963-07-14,S,F,70000.0,0.0,0.0,Bachelors,Professional,0.0,2.0
109,110,697,Ruben,Kapoor,1963-11-05,S,M,70000.0,0.0,0.0,Bachelors,Professional,0.0,2.0
110,111,473,Curtis,Yang,1962-06-06,M,M,60000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
111,112,632,Meredith,Gutierrez,1962-02-23,M,F,60000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
112,113,492,Crystal,Wang,1962-09-09,M,F,60000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
113,114,531,Micheal,Blanco,1962-02-21,M,M,70000.0,5.0,4.0,Bachelors,Professional,1.0,2.0
114,115,679,Leslie,Moreno,1962-05-28,S,F,70000.0,5.0,4.0,Partial College,Skilled Manual,1.0,2.0
115,116,554,Alvin,Cai,1962-02-12,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,1.0,2.0
116,117,558,Clinton,Carlson,1962-10-07,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,1.0,2.0
117,118,509,April,Deng,1961-02-21,M,F,70000.0,5.0,4.0,Partial College,Skilled Manual,1.0,3.0
118,119,648,Alvin,Zeng,1957-07-03,S,M,80000.0,1.0,0.0,Partial College,Skilled Manual,0.0,1.0
119,120,534,Evan,James,1935-04-10,S,M,30000.0,2.0,0.0,Partial College,Clerical,0.0,2.0
120,121,558,Beth,Jim̩nez,1936-08-09,S,F,40000.0,2.0,0.0,Bachelors,Management,1.0,1.0
121,122,518,Orlando,Suarez,1960-11-18,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,1.0,3.0
122,123,669,Byron,Vazquez,1960-04-02,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,1.0,3.0
123,124,699,Philip,Alvarez,1960-06-20,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,1.0,3.0
124,125,568,Ross,Jordan,1957-07-27,S,M,80000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
125,126,692,Dana,Navarro,1956-04-08,S,F,70000.0,1.0,0.0,Partial College,Skilled Manual,1.0,1.0
126,127,519,Shaun,Carson,1949-04-07,M,M,10000.0,2.0,1.0,High School,Skilled Manual,0.0,2.0
127,128,690,Jan,Edwards,1975-10-21,M,F,40000.0,0.0,0.0,High School,Skilled Manual,1.0,1.0
128,129,678,Samantha,Long,1975-12-05,M,F,40000.0,0.0,0.0,High School,Skilled Manual,1.0,1.0
129,130,694,Julia,Wright,1975-08-05,S,F,40000.0,0.0,0.0,High School,Skilled Manual,1.0,1.0
130,131,500,Caroline,Russell,1980-01-06,M,F,30000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
131,132,490,Amanda,Rivera,1980-03-12,M,F,30000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
132,133,647,Melissa,Richardson,1980-10-26,S,F,30000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
133,134,644,Angela,Griffin,1980-09-08,S,F,30000.0,0.0,0.0,Partial High School,Clerical,0.0,2.0
134,135,531,Larry,Townsend,1946-02-26,S,M,10000.0,5.0,0.0,High School,Skilled Manual,1.0,2.0
135,136,445,Marcus,Harris,1979-11-03,S,M,30000.0,0.0,0.0,Partial High School,Clerical,0.0,2.0
136,137,511,Brianna,Morgan,1978-10-26,S,F,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
137,138,551,Jasmine,Taylor,1978-07-20,M,F,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
138,139,633,Lauren,Davis,1978-09-15,M,F,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
139,140,613,Tanya,Moreno,1938-11-09,S,F,30000.0,2.0,0.0,Partial College,Clerical,0.0,2.0
140,141,443,Javier,Alvarez,1977-02-11,S,M,30000.0,0.0,0.0,Partial High School,Clerical,0.0,2.0
141,142,472,Nicole,Ramirez,1977-06-21,M,F,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
142,143,647,Eduardo,Patterson,1977-08-14,S,M,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
143,144,645,Jonathan,Henderson,1977-02-04,M,M,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
144,145,577,Edward,Hernandez,1979-09-09,S,M,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
145,146,580,Jasmine,Coleman,1979-12-08,S,F,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
146,147,509,Karla,Goel,1939-08-26,S,F,40000.0,2.0,0.0,Bachelors,Management,1.0,2.0
147,148,568,Ernest,Wu,1939-02-05,M,M,60000.0,2.0,0.0,Graduate Degree,Management,1.0,1.0
148,149,478,Ross,Vazquez,1941-08-16,M,M,40000.0,2.0,0.0,Bachelors,Management,1.0,2.0
149,150,492,Theodore,Gill,1941-04-20,M,M,40000.0,2.0,0.0,Bachelors,Management,1.0,2.0
150,151,699,Russell,Shen,1941-03-15,S,M,40000.0,2.0,0.0,Bachelors,Management,1.0,2.0
151,152,558,Melinda,Gill,1942-02-25,S,F,60000.0,2.0,0.0,Graduate Degree,Management,0.0,1.0
152,153,537,James,Williams,1976-01-10,S,M,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
153,154,678,Angela,James,1976-06-23,M,F,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
154,155,573,Megan,Walker,1976-08-21,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,1.0,1.0
155,156,443,Hunter,Robinson,1976-01-26,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
156,157,645,Maria,Roberts,1976-02-07,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
157,158,559,Hannah,Long,1975-06-11,M,F,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
158,159,690,Jason,Wright,1975-10-08,S,M,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
159,160,707,Brianna,Hughes,1975-09-17,S,F,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
160,161,470,Maurice,Tang,1974-01-08,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
161,162,470,Emily,Wood,1974-04-22,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
162,163,643,Chase,Cox,1974-03-05,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,1.0,1.0
163,164,552,Gabriel,Wang,1974-12-20,M,M,40000.0,0.0,0.0,Partial College,Skilled Manual,1.0,1.0
164,165,560,Devin,Brooks,1974-05-05,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
165,166,520,Jocelyn,Alexander,1973-07-18,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
166,167,522,Ashley,Martinez,1972-04-24,S,F,70000.0,0.0,0.0,Partial College,Skilled Manual,0.0,2.0
167,168,495,Jasmine,Barnes,1972-08-01,S,F,80000.0,0.0,0.0,Bachelors,Management,0.0,1.0
168,169,520,David,Rodriguez,1968-05-15,S,M,80000.0,0.0,0.0,Bachelors,Management,0.0,1.0
169,170,619,Bryce,Richardson,1968-06-22,M,M,90000.0,4.0,4.0,Bachelors,Management,1.0,1.0
170,171,597,Carol,Howard,1968-02-05,M,F,90000.0,4.0,4.0,Bachelors,Management,1.0,1.0
171,172,707,Jonathan,Hill,1967-10-09,S,M,100000.0,1.0,0.0,Bachelors,Management,1.0,2.0
172,173,507,Gabrielle,Adams,1967-11-21,M,F,100000.0,1.0,0.0,Bachelors,Management,1.0,2.0
173,174,703,Sarah,Thomas,1967-09-01,S,F,110000.0,0.0,0.0,Graduate Degree,Management,0.0,4.0
174,175,653,Nicholas,Robinson,1967-07-13,M,M,110000.0,0.0,1.0,Graduate Degree,Management,1.0,0.0
175,176,430,Luis,Wang,1963-03-05,S,M,70000.0,0.0,0.0,Partial College,Skilled Manual,1.0,2.0
176,177,490,Mason,Roberts,1968-01-25,M,M,90000.0,4.0,4.0,Bachelors,Management,1.0,1.0
177,178,688,Jose,Flores,1942-07-04,M,M,110000.0,2.0,4.0,Graduate Degree,Management,1.0,2.0
178,179,645,Nathan,Johnson,1943-08-24,M,M,100000.0,2.0,3.0,Graduate Degree,Management,1.0,3.0
179,180,430,Molly,Rodriguez,1943-06-14,M,F,120000.0,2.0,4.0,Graduate Degree,Management,1.0,3.0
180,181,610,April,Anand,1943-01-02,M,F,160000.0,1.0,3.0,Bachelors,Management,1.0,4.0
181,182,653,Devin,Martin,1943-08-08,M,M,170000.0,2.0,3.0,Graduate Degree,Management,1.0,2.0
182,183,694,Stephanie,Torres,1944-08-25,S,F,70000.0,4.0,0.0,Bachelors,Management,1.0,2.0
183,184,691,Jasmine,Lee,1944-07-15,S,F,70000.0,4.0,0.0,Bachelors,Management,1.0,2.0
184,185,470,Meghan,Hernandez,1944-11-16,S,F,70000.0,4.0,0.0,Bachelors,Management,1.0,2.0
185,186,511,Ashley,Henderson,1944-10-08,S,F,70000.0,4.0,0.0,Bachelors,Management,1.0,2.0
186,187,527,Sarah,Price,1944-05-21,S,F,70000.0,4.0,0.0,Bachelors,Management,1.0,2.0
187,188,597,Jennifer,Cooper,1944-02-22,M,F,60000.0,4.0,0.0,Graduate Degree,Management,1.0,2.0
188,189,690,Catherine,Morris,1944-09-06,M,F,60000.0,4.0,0.0,Graduate Degree,Management,0.0,2.0
189,190,583,Lawrence,Blanco,1944-07-15,S,M,60000.0,4.0,0.0,Graduate Degree,Management,1.0,2.0
190,191,430,Carson,Bryant,1944-06-22,M,M,70000.0,5.0,0.0,Bachelors,Management,1.0,2.0
191,192,469,Kristi,Perez,1945-12-18,S,F,70000.0,5.0,0.0,Bachelors,Management,1.0,3.0
192,193,693,James,Brown,1945-09-13,M,M,60000.0,4.0,0.0,Bachelors,Management,1.0,2.0
193,194,573,Ian,Gray,1945-02-13,M,M,60000.0,4.0,0.0,Bachelors,Management,1.0,2.0
194,195,527,Jacqueline,Price,1945-06-10,M,F,60000.0,4.0,0.0,Bachelors,Management,1.0,2.0
195,196,678,Megan,Henderson,1946-02-10,M,F,60000.0,5.0,0.0,Bachelors,Management,1.0,3.0
196,197,580,Alfredo,Romero,1946-06-07,M,M,60000.0,5.0,0.0,Bachelors,Management,1.0,3.0
197,198,693,Andrea,Morris,1946-06-18,M,F,70000.0,3.0,1.0,Bachelors,Management,0.0,1.0
198,199,691,Brooke,Sanders,1946-11-26,S,F,70000.0,4.0,1.0,Bachelors,Management,1.0,1.0
199,200,445,Jacqueline,Bennett,1946-11-06,M,F,70000.0,4.0,1.0,Bachelors,Management,1.0,1.0
200,201,701,Jason,Griffin,1947-11-22,M,M,70000.0,4.0,1.0,Bachelors,Management,1.0,1.0
201,202,547,Amanda,Foster,1947-08-18,M,F,70000.0,4.0,1.0,Bachelors,Management,1.0,1.0
202,203,645,Alexia,Price,1947-08-26,M,F,80000.0,5.0,0.0,Bachelors,Management,0.0,2.0
203,204,675,Luis,Diaz,1948-08-21,M,M,40000.0,2.0,1.0,High School,Professional,1.0,2.0
204,205,580,Destiny,Rivera,1948-06-01,M,F,40000.0,2.0,1.0,High School,Professional,1.0,2.0
205,206,597,Abby,Fernandez,1948-07-24,M,F,40000.0,2.0,1.0,High School,Professional,1.0,2.0
206,207,507,Blake,Flores,1948-09-24,M,M,60000.0,2.0,1.0,Partial College,Professional,1.0,1.0
207,208,678,Danielle,Cox,1948-07-19,S,F,60000.0,2.0,1.0,Partial College,Professional,1.0,1.0
208,209,633,Maria,Reed,1948-02-04,M,F,60000.0,2.0,1.0,Bachelors,Management,1.0,0.0
209,210,505,Allison,Evans,1948-01-13,M,F,60000.0,2.0,1.0,Bachelors,Management,1.0,0.0
210,211,570,Edward,Wood,1948-06-08,M,M,70000.0,4.0,1.0,Partial College,Professional,1.0,2.0
211,212,490,Samantha,Russell,1949-10-12,M,F,40000.0,2.0,1.0,High School,Professional,1.0,2.0
212,213,511,Chloe,Campbell,1949-11-05,M,F,40000.0,2.0,1.0,High School,Professional,1.0,2.0
213,214,479,Stephanie,Murphy,1949-05-14,S,F,60000.0,2.0,1.0,Partial College,Professional,1.0,2.0
214,215,660,Charles,Miller,1949-11-07,S,M,60000.0,2.0,1.0,Partial College,Professional,1.0,2.0
215,216,682,Ana,Perry,1950-06-21,M,F,40000.0,2.0,1.0,Partial High School,Skilled Manual,1.0,2.0
216,217,536,Jasmine,Torres,1950-05-20,S,F,60000.0,2.0,1.0,Partial College,Professional,1.0,2.0
217,218,536,Natalie,Adams,1950-02-11,S,F,60000.0,2.0,1.0,Partial College,Professional,1.0,2.0
218,219,559,Olivia,Brown,1950-09-11,S,F,60000.0,2.0,1.0,Partial College,Professional,0.0,2.0
219,220,573,Charles,Cook,1950-12-02,M,M,60000.0,2.0,1.0,High School,Professional,1.0,2.0
220,221,469,Erica,Huang,1950-02-23,M,F,60000.0,2.0,1.0,Partial College,Professional,1.0,1.0
221,222,645,Nathan,Perry,1950-06-10,M,M,70000.0,4.0,2.0,Partial College,Professional,1.0,1.0
222,223,547,Alexandra,Rivera,1950-08-17,M,F,80000.0,3.0,1.0,Bachelors,Management,1.0,1.0
223,224,499,Hailey,Patterson,1951-09-16,S,F,70000.0,2.0,1.0,High School,Professional,1.0,2.0
224,225,597,Tiffany,Li,1951-09-06,S,F,70000.0,2.0,1.0,High School,Professional,1.0,2.0
225,226,678,Madison,Lee,1951-02-16,M,F,60000.0,2.0,1.0,Partial College,Professional,1.0,1.0
226,227,703,Sydney,Ross,1951-09-27,M,F,60000.0,2.0,1.0,Partial College,Professional,1.0,1.0
227,228,469,Marshall,Chavez,1951-08-12,S,M,60000.0,2.0,1.0,Partial College,Professional,1.0,2.0
228,229,625,Ashley,Jones,1951-04-19,M,F,60000.0,2.0,1.0,Partial College,Professional,1.0,2.0
229,230,538,Adrian,Stewart,1951-12-03,S,M,70000.0,4.0,2.0,Partial College,Professional,1.0,1.0
230,231,547,Amber,Turner,1951-04-03,M,F,70000.0,4.0,2.0,Partial College,Professional,0.0,2.0
231,232,442,Dennis,Zhang,1952-11-14,M,M,60000.0,2.0,1.0,High School,Professional,1.0,2.0
232,233,627,Hailey,Bryant,1952-09-27,M,F,60000.0,3.0,1.0,High School,Professional,0.0,2.0
233,234,584,Todd,Li,1952-09-09,M,M,70000.0,4.0,2.0,Partial College,Professional,1.0,2.0
234,235,652,Anna,Griffin,1952-11-19,S,F,70000.0,4.0,2.0,Partial College,Professional,1.0,2.0
235,236,577,Angel,Stewart,1952-02-08,M,M,70000.0,4.0,2.0,Partial College,Professional,1.0,2.0
236,237,583,Jeremy,Butler,1952-03-05,S,M,70000.0,5.0,2.0,Partial College,Professional,1.0,2.0
237,238,696,Clarence,Anand,1958-09-23,S,M,130000.0,2.0,3.0,Bachelors,Management,0.0,4.0
238,239,588,Mayra,Prasad,1958-08-10,S,F,130000.0,2.0,3.0,Bachelors,Management,0.0,4.0
